현대건설,33150,33850,33850,33000,965456,34300
현대중공업지주,233500,228500,235000,228500,40247,232000
GS,38800,38400,39450,38400,328053,38350
CJ제일제당,237000,238000,241500,236000,74996,235500
미래에셋대우,5440,5160,5530,5130,8422011,5320
KODEX 레버리지,10145,9915,10320,9910,150361768,9915
삼성카드,29000,28750,29500,28750,244394,28600
CJ대한통운,147500,145000,148000,142000,109815,144500
포스코케미칼,52100,51600,53900,51500,773765,52200
이마트,115500,115500,117500,115000,269365,114000
에스원,83700,82800,85100,82800,76179,83600
유한양행,46700,48550,48750,46600,826006,46900
호텔신라,77700,80000,80700,77100,1658456,79400
한미약품,262000,260500,263000,260000,45545,263000
LG이노텍,132500,129000,133500,128500,524869,130000
TIGER 200,25950,25650,26155,25650,3178389,25640
롯데지주,27450,26950,27650,26650,219393,27550
대림산업,78700,75500,81400,75500,703451,81600
삼성중공업,4335,4335,4415,4320,6721220,4320
더존비즈온,90500,89500,93000,87500,261888,91400
한국타이어앤테크놀로지,21400,21050,21750,20800,609991,21500
DB손해보험,37700,37800,38600,37700,386762,37600
한국금융지주,49100,46200,50400,46000,653702,47650
현대제철,19750,19500,19950,19500,709692,19850
한국가스공사,26900,26800,27100,26750,293995,27400
삼성증권,28850,27950,29250,27900,1074012,28250
BGF리테일,151000,145500,153500,145500,32017,145500
쌍용양회,4980,5130,5130,4955,2201946,4990
신세계,252500,245000,260000,241000,203705,255000
NH투자증권,9110,8800,9250,8740,2874935,8920
롯데쇼핑,86600,86200,91000,85500,234681,88500
두산밥캣,22450,21750,22550,21700,800163,24900
GS리테일,31850,31300,32500,31300,261263,31750
한화솔루션,14400,14100,14800,14000,1419595,14500
한국항공우주,22600,22400,22950,22400,573096,23600
현대차2우B,63300,63700,64900,63200,85421,62000
삼성엔지니어링,11450,11300,11650,11200,2733593,11250
현대해상,24550,23900,25100,23900,252409,24550
CJ,72200,71500,73500,71500,85785,72000
금호석유,66200,66400,68100,66000,156869,67900
하이트진로,29050,29250,29650,29000,289980,29100
휠라홀딩스,33300,32650,35100,32500,994044,33250
KODEX 200선물인버스2X,6770,6930,6955,6660,255490612,6940
제일기획,16950,16750,17250,16600,1316529,17100
오뚜기,536000,531000,541000,531000,6796,536000
GS건설,23700,23950,24400,23700,623699,23950
SKC,50200,48000,52700,48000,740973,50800
일진머티리얼즈,40650,39850,41650,39700,1571123,40750
메리츠증권,3015,2905,3070,2900,4135667,2970
부광약품,27650,28600,28800,26800,10363610,28250
현대엘리베이,63600,64600,64800,63100,488333,66000
대우조선해양,16600,16700,16900,16500,343373,16500
팬오션,3260,3130,3325,3130,2416583,3300
농심,288500,292000,295000,288000,39859,288500
F&F,111500,108500,115000,107000,143740,113000
녹십자,148500,154000,155500,147000,198899,148500
동서,16650,16300,16800,16300,155319,17050
포스코인터내셔널,13250,13150,13400,13050,408309,13400
키움증권,74700,74100,76400,73900,113967,74200
KG동부제철,13200,12050,13200,11650,144378,16000
한샘,63800,62500,64100,62300,113219,67500
현대백화점,65900,65000,68700,64800,204728,67700
메리츠화재,13750,13800,14100,13750,97059,13750
KODEX 단기채권,102190,102185,102190,102180,38970,102190
BNK금융지주,4800,4685,4890,4685,1523225,4780
한화생명,1815,1660,1955,1660,81940044,1775
TIGER 단기통안채,100435,100430,100435,100420,394231,100435
신세계인터내셔날,206000,201500,209500,200000,126693,206500
LG생활건강우,675000,654000,682000,652000,4920,696000
파미셀,18500,20500,20750,18500,30002599,24050
현대로템,13950,14200,14450,13750,1861482,16950
한전KPS,31800,31300,32300,31300,176732,31950
NHN,73900,75500,75500,73300,141007,73200
현대차우,60100,60200,60500,59800,133346,58600
대우건설,3355,3330,3470,3330,1648975,3360
KBSTAR 200,25855,25575,26090,25575,1112950,25565
효성,66800,66800,67500,66800,91903,66100
메리츠금융지주,9790,9930,9980,9780,91528,9610
한화,18350,18000,18600,18000,235137,17950
대웅제약,104500,109000,113000,102500,170725,113500
한올바이오파마,25150,26500,27000,24900,1022569,25000
LG화학우,173000,165000,178000,165000,42921,169000
KODEX 코스닥150 레버리지,7490,7490,7545,7310,37750458,7435
KCC,144000,145000,148500,144000,62576,143000
HDC현대산업개발,18850,18650,19200,18550,742411,19100
SK네트웍스,5000,4925,5060,4925,1702172,5060
이노션,62000,58500,62000,57900,95728,61900
현대미포조선,30750,31150,31350,30500,198488,30550
KODEX 종합채권(AA-이상)액티브,109785,109790,109820,109650,52927,109755
만도,25300,24700,25500,24600,608439,25300
HMM,3655,3725,3985,3635,5098510,3750
한화에어로스페이스,23150,22950,23450,22750,301275,23400
LS ELECTRIC,38650,37950,39850,37950,96454,38950
LS,34450,33750,35100,33750,108902,34750
태영건설,13850,13600,14000,13500,233871,14100
지누스,71600,71500,74200,70800,197140,74200
DB하이텍,24050,24850,25150,23850,1628924,23700
두산솔루스,32300,32050,33300,30150,2258773,33900
두산중공업,3820,3755,3850,3740,2350066,4090
KODEX 200TR,8160,8060,8215,8060,1064159,8055
신풍제약,16250,17750,18400,15950,16303341,18950
녹십자홀딩스,21250,21350,21500,21000,131665,21350
종근당,90900,92100,92900,90600,43900,92100
한국콜마,43200,42250,43400,42250,326192,43000
코리안리,7960,7800,8900,7790,1366844,8100
더블유게임즈,52500,53300,53500,51100,398510,53300
KODEX 삼성그룹,6440,6330,6525,6330,430670,6385
TRUE 코스피 양매도 5% OTM ETN,9695,9720,9720,9685,4509,9735
한솔케미칼,87700,82700,87700,82600,96912,85200
KODEX 인버스,6890,6980,6985,6835,54980478,6975
GKL,15500,15800,16000,15450,463300,15350
OCI,39550,39050,40450,39050,181434,39750
두산인프라코어,4225,4345,4365,4220,5305975,4525
영풍,508000,499000,511000,499000,2181,508000
SK케미칼,79300,80700,80900,78300,371841,79200
현대위아,35150,35500,36000,35000,196066,34100
금호타이어,3295,3095,3310,3095,824931,3225
영진약품,5010,4960,5100,4910,1520196,5030
HANARO 200,26300,25605,26300,25560,218801,25580
한국테크놀로지그룹,9740,9650,10050,9650,141976,9760
KODEX MSCI Korea TR,8200,8135,8255,8015,563161,8065
아시아나항공,3950,3855,4030,3810,7606369,4030
한화시스템,7710,7790,7820,7670,409280,8160
롯데리츠,5190,5010,5200,5000,736575,5210
JB금융지주,4410,4390,4465,4370,334583,4440
오리온홀딩스,14350,14350,14600,14300,121430,13800
롯데정밀화학,33600,33200,33950,33150,91910,33500
코스맥스,85400,86800,87100,84600,208586,86000
대웅,13600,14300,14350,13100,749506,14600
태광산업,756000,750000,761000,750000,835,760000
DGB금융지주,4950,4835,4950,4810,1246640,4955
현대오토에버,38450,38800,38850,38000,71181,39000
쿠쿠홈시스,35400,35100,36550,35050,51577,35650
코오롱인더,30300,30550,30950,30250,613723,29600
현대홈쇼핑,63900,60900,64500,60800,55485,66400
롯데칠성,99700,99000,101000,98600,58242,98800
롯데관광개발,11100,10900,11500,10800,433849,11200
롯데제과,121000,122500,123500,119500,9065,120000
대한유화,107000,112000,112000,106500,76275,117000
화승엔터프라이즈,12300,11650,12300,11550,703189,12450
동아에스티,87700,84300,87700,84300,33422,88800
KODEX 단기채권PLUS,102265,102230,102270,102230,8940,102270
삼양식품,101000,103000,103000,99900,49692,98900
아이에스동서,24200,23900,24600,23900,90353,23950
현대그린푸드,7400,7270,7440,7270,402199,7480
다우기술,16200,15750,16300,15650,235771,15950
애경산업,26850,26650,27400,26500,205956,26750
아주캐피탈,12200,12150,12900,12050,86036,12050
동원F&B,180000,177000,180500,176500,9556,179500
SK가스,74000,73500,74600,73200,24053,75700
아모레퍼시픽우,64100,62500,64500,62400,43333,65100
휴켐스,16850,15850,16850,15850,150518,16800
미래에셋생명,3685,3590,3730,3590,212859,3765
대상,19450,19750,19900,19350,272399,19200
일양약품,34350,35850,36250,34250,641749,34800
한전기술,16800,17200,17200,16700,192392,16850
에스엘,13650,13500,13950,13500,90013,13350
JW중외제약,29450,30450,30700,29250,324470,30750
후성,6950,6760,7040,6730,2236321,6900
두산,38100,37500,38650,37400,176324,38650
대덕전자,8150,8120,8280,8110,654104,8000
QV 코스피 변동성 매칭형 양매도 ETN,8875,8875,8875,8875,0,8895
SPC삼립,72700,72600,73800,72400,16121,72100
KODEX WTI원유선물(H),7055,7110,7155,7035,33661392,6340
쿠쿠홀딩스,88300,86800,90900,86800,6725,86900
락앤락,11600,11450,11800,11450,206307,11400
ARIRANG 200,26015,25780,26245,25760,118514,25725
하나투어,40800,41500,42000,40300,198120,41750
넥센타이어,6060,6000,6110,5990,449675,5950
한섬,22650,22050,22900,22050,97549,23500
TIGER MSCI Korea TR,10305,10180,10355,10180,89401,10170
KINDEX 200,26095,25815,26310,25805,793217,25785
종근당홀딩스,114000,118000,119000,113000,40272,114000
풍산,19450,19100,20100,19100,315350,20100
제이콘텐트리,35100,36000,36150,34400,200375,34200
보령제약,12800,12900,13250,12650,1010126,12600
대한전선,645,662,670,640,2510572,648
동원시스템즈,21700,21750,22350,21700,23711,21600
한진,48650,45950,57200,43950,3989099,45900
동아쏘시오홀딩스,89900,88900,90400,88600,13392,89500
KODEX 코스닥 150,10050,10100,10100,9910,4886883,10020
빙그레,54200,53400,54700,53200,58880,55500
HDC,8900,8930,9030,8880,388130,9070
한일현대시멘트,30000,29800,31550,29550,132824,32200
제주항공,19600,19850,19900,19000,355868,20150
KOSEF 200,26220,25930,26435,25890,83900,25925
씨에스윈드,30100,29550,30300,29150,53918,30250
롯데하이마트,21900,21850,22400,21500,128582,22100
S&T모티브,35050,32750,35450,32750,77145,35400
필룩스,6050,5780,6400,5680,19109371,6010
효성티앤씨,119000,120000,122000,118500,11831,119000
삼화콘덴서,49550,48950,51900,48850,750428,49200
