삼성전자,50100,49850,50100,49300,15691892,50000
SK하이닉스,83400,82500,83900,82400,3185449,83700
삼성바이오로직스,588000,589000,598000,583000,188425,581000
삼성전자우,42400,42750,42900,42400,1331639,42250
NAVER,198000,197500,198000,194500,433060,197500
셀트리온,209000,212500,214000,208000,718095,210500
LG화학,362500,365000,371500,354000,579674,376500
LG생활건강,1371000,1370000,1388000,1362000,56420,1386000
삼성물산,102500,100000,102500,99300,464738,106000
현대차,93200,92500,94400,92200,1441418,93600
삼성SDI,279500,285000,288500,277500,503391,286000
SK텔레콤,213000,212500,217000,212500,230228,211500
현대모비스,167500,167000,169500,166000,351388,172000
POSCO,177500,175500,179000,175500,418810,184500
카카오,185000,185500,186500,181500,665905,184000
한국전력,23800,24300,24800,23650,4542457,23850
신한지주,30100,30750,31450,29600,3274754,30550
KB금융,34150,34850,35950,33800,3676157,34750
엔씨소프트,648000,631000,648000,630000,100687,643000
SK,183000,178500,183000,176500,167142,182000
삼성에스디에스,158500,159500,162500,158000,161585,162500
기아차,29250,28900,29900,28900,2166526,29650
KT&G,80300,79900,80600,79200,498528,81100
LG,62500,61900,62600,61500,187017,62000
아모레퍼시픽,176000,173000,181000,171000,598133,177000
삼성생명,49400,49300,50400,48600,599186,49100
SK이노베이션,96500,96200,97700,95700,652534,98300
삼성화재,191000,190500,195000,189500,75516,190500
LG전자,53600,53800,54500,53100,709123,54900
삼성전기,110000,110500,111500,108000,780041,113500
하나금융지주,27350,27850,29100,26850,4752022,27600
넷마블,95300,93100,95900,92100,553165,95500
S-Oil,68700,68600,70300,67800,2022849,70000
롯데케미칼,222000,224500,226000,216500,203711,215500
고려아연,386500,397500,399000,385500,67210,386000
KT,23550,23600,23950,23450,763176,23850
우리금융지주,8430,8430,8850,8280,4585966,8440
한국조선해양,77400,77000,77400,76000,238361,82700
LG유플러스,13050,13100,13300,12950,1599419,13350
강원랜드,25200,24750,25800,24750,1071112,25050
KODEX 200,25650,25590,25740,25335,5997368,25820
한진칼,88200,90800,95900,86300,3308220,87000
오리온,123000,121000,124500,119500,71287,124000
한온시스템,9110,8900,9140,8830,900765,9130
아모레G,58300,58200,60500,58100,251433,58100
기업은행,7720,7780,8090,7640,5865261,7900
코웨이,59800,60500,60600,59200,205266,61400
롯데지주,37300,29400,37300,28800,6076053,40100
CJ제일제당,269500,274000,276000,266000,77126,272500
현대중공업지주,231000,230000,234000,228000,53950,243000
LG디스플레이,11100,10950,11300,10850,2917392,11050
현대건설,34300,34400,34650,33650,787686,35050
현대글로비스,99400,98500,100500,98000,164992,101500
미래에셋대우,5350,5430,5520,5260,3749901,5610
GS,37800,37650,38300,37350,431888,38550
삼성카드,28550,28900,29100,28250,154527,30000
CJ대한통운,146500,150000,150000,145000,53465,148000
KODEX 레버리지,10235,10175,10295,9980,104467255,10375
이마트,120500,119500,121500,117500,301534,120000
호텔신라,82000,78700,82300,78400,1646054,85200
팬오션,3400,3475,3480,3385,1942418,3445
대우조선해양,16950,17150,17300,16800,336249,17150
일진머티리얼즈,39450,40700,40750,39250,423510,39850
농심,301500,304500,305000,299000,24042,295500
포스코인터내셔널,13900,13650,13900,13450,437332,14200
녹십자,148000,151500,152000,146000,113266,148500
동서,17250,16800,17250,16750,109683,17300
KODEX 단기채권,102225,102225,102230,102225,6910,102230
한샘,72900,73200,73500,71400,85689,72800
더블유게임즈,58000,55000,58000,54600,321025,58000
종근당,93300,93300,93300,91800,23811,96500
KODEX 200TR,8200,8170,8230,8105,228314,8260
KODEX 인버스,6845,6875,6940,6825,43063984,6790
두산중공업,3935,4200,4200,3900,3953091,3995
코리안리,8360,8350,8430,8310,347043,8400
두산솔루스,32700,32500,33300,31700,816508,32900
롯데정밀화학,36950,36200,37200,35700,148186,39000
화승엔터프라이즈,11700,11950,12300,11650,509352,12550
대상,22400,22750,22800,22100,244469,21900
애경산업,28600,27900,29200,27750,311120,28600
NICE,19900,19500,19950,19200,39361,19900
다우기술,15850,15700,16050,15400,151174,16400
KODEX MSCI Korea TR,8190,8195,8220,8090,360653,8270
휴켐스,16950,16300,17100,16250,114640,17500
SK가스,76400,76500,77400,76200,13728,76400
아주캐피탈,12150,12000,12150,11950,10325,12250
두산,40650,38350,40750,38250,266486,40350
아모레퍼시픽우,64000,62500,64500,62000,50079,62600
한전기술,16900,16950,17200,16600,87010,17000
대덕전자,8210,0,0,0,0,8210
미래에셋생명,3650,3570,3665,3545,154821,3610
에스엘,13050,12550,13150,12300,110548,13250
ARIRANG 200,25790,25695,25860,25455,43329,26025
롯데하이마트,23900,24350,24350,23250,185835,27000
쿠쿠홀딩스,88100,86200,89000,86100,9785,89600
빙그레,63400,65600,65600,62100,98566,63600
일양약품,32800,33800,33850,32650,311837,32800
QV 코스피 변동성 매칭형 양매도 ETN,8940,8940,8940,8940,0,8925
후성,6700,6790,6820,6600,548972,6710
SPC삼립,71200,73000,73500,70500,16612,71100
JW중외제약,29150,29850,29850,28950,168596,29250
한섬,24500,24800,25100,24150,91395,24400
락앤락,11100,11600,11600,10850,305707,11050
풍산,21600,21350,22800,20900,792873,21150
